timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,0.053064,0.004222,-9.770127,-0.001200,-0.006783,0.000450,20.556,-0.184,-39.472
10.0,-0.031849,-0.025033,-9.693130,0.002004,0.025820,-0.007728,19.880,0.124,-39.972
20.0,0.079014,0.028223,-9.845441,0.004975,-0.000469,-0.015552,20.397,-0.279,-40.208
30.0,0.092525,-0.086355,-9.833619,-0.001948,-0.005744,-0.010417,20.050,0.698,-40.121
40.0,0.010484,-0.012014,-9.830009,-0.002635,0.016292,-0.009347,19.827,0.068,-40.313
50.0,-0.061233,-0.042562,-9.801114,0.001035,0.005581,-0.017713,19.799,-0.345,-39.715
60.0,-0.015349,-0.050578,-9.836959,0.005399,-0.005465,0.002486,19.709,0.826,-40.194
70.0,0.028965,0.020334,-9.836078,0.010593,0.007187,-0.000464,19.969,-0.580,-39.721
80.0,0.108282,-0.079244,-9.818978,-0.015408,0.013318,0.009974,18.581,-0.587,-40.254
90.0,-0.048808,-0.059770,-9.931280,-0.001555,0.005127,0.002505,20.678,-0.206,-40.230
100.0,0.049168,-0.065648,-9.848577,-0.002632,-0.004765,0.017041,20.124,-0.409,-40.676
110.0,-0.042704,-0.042312,-9.806182,-0.009124,-0.004328,0.010888,20.240,-0.641,-40.304
120.0,0.028339,0.079495,-9.866752,0.000046,-0.008851,-0.008316,19.618,0.323,-39.584
130.0,0.081804,-0.011987,-9.795418,0.015274,0.006278,-0.008444,20.587,-0.405,-40.772
140.0,-0.078702,0.069564,-9.782899,0.004062,-0.004377,0.002011,20.269,-0.913,-40.233
150.0,-0.024675,0.016996,-9.826837,-0.007091,0.001085,0.002535,20.430,0.771,-40.224
160.0,0.064914,-0.020082,-9.902684,0.021645,0.006992,0.004312,20.357,-0.020,-39.748
170.0,0.008704,0.073785,-9.792474,-0.011524,0.007327,0.006764,20.473,0.147,-39.952
180.0,0.102657,0.004801,-9.860184,-0.004377,-0.003808,-0.011836,20.445,0.310,-39.446
190.0,-0.077845,-0.045475,-9.717227,-0.006150,-0.014859,0.022870,19.155,0.579,-39.230
200.0,-0.011654,-0.035305,-9.851278,0.002157,0.001799,-0.003611,19.961,0.036,-39.016
210.0,-0.003019,-0.092546,-9.713025,0.011931,-0.016331,-0.006705,19.737,0.050,-40.204
220.0,0.049207,-0.053868,-9.793741,-0.004196,-0.007664,-0.008015,21.509,-0.939,-38.851
230.0,0.017019,0.002318,-9.785318,-0.009735,0.009858,0.003232,20.345,-1.004,-39.348
240.0,-0.029810,0.005116,-9.775276,0.005208,-0.013782,0.004270,20.821,0.701,-40.400
250.0,0.014284,-0.009688,-9.808871,0.005735,-0.005488,-0.001821,20.176,0.368,-40.011
260.0,0.024364,-0.088841,-9.756400,-0.005909,-0.012816,0.011456,20.448,0.462,-39.500
270.0,0.090974,-0.089088,-9.877300,-0.010163,-0.007847,0.005414,19.996,1.064,-39.565
280.0,-0.034967,0.013261,-9.852127,0.003722,0.000163,0.000198,19.544,-0.186,-39.930
290.0,0.014021,0.051656,-9.772778,0.004215,-0.000995,-0.006258,20.141,0.599,-40.166
300.0,-0.005147,0.015843,-9.796799,-0.002324,-0.006764,-0.010911,19.942,-0.150,-39.681
310.0,-0.100814,-0.001230,-9.877413,0.011478,0.016238,0.008189,19.707,0.244,-39.468
320.0,0.029338,-0.062318,-9.890821,-0.004862,-0.000333,-0.014762,20.104,0.302,-39.382
330.0,0.129952,0.113776,-9.817058,0.008019,0.003934,0.004337,20.397,-0.502,-40.107
340.0,0.083621,-0.076575,-9.910463,-0.014577,0.010314,-0.009045,19.726,-0.641,-39.699
350.0,-0.020683,0.017915,-9.769739,-0.000054,0.004772,-0.003351,20.157,0.782,-40.697
360.0,-0.015179,-0.040586,-9.812613,0.005099,-0.018069,-0.004930,20.371,-0.302,-39.826
370.0,-0.001126,0.019791,-9.768428,-0.004910,0.006806,0.002381,19.837,-1.050,-40.804
380.0,-0.024345,-0.077856,-9.852694,0.007423,-0.011796,0.008058,19.411,-0.271,-40.178
390.0,-0.052014,0.013434,-9.898159,-0.007457,0.000742,-0.003507,20.254,-0.143,-39.530
400.0,0.000689,-0.038101,-9.777033,0.023397,-0.006370,0.008370,19.169,-0.095,-40.798
410.0,0.021826,-0.110327,-9.747780,-0.000081,0.002764,-0.011703,20.410,-0.158,-39.539
420.0,0.064343,0.044451,-9.727409,0.002452,0.002607,0.015864,20.399,-0.063,-40.147
430.0,-0.056458,0.044454,-9.733780,-0.009256,-0.015840,-0.001261,19.985,0.079,-40.913
440.0,0.033081,-0.048847,-9.858827,-0.006647,0.011407,-0.009529,20.154,0.713,-39.933
450.0,0.038093,0.001405,-9.847121,0.013211,-0.004841,0.010543,19.201,-0.071,-39.540
460.0,-0.023996,0.077655,-9.849098,0.001278,-0.001294,-0.008272,19.939,-0.917,-40.260
470.0,0.034497,-0.054874,-9.731198,0.008488,0.010816,0.020944,19.811,-0.044,-40.307
480.0,-0.001792,-0.091392,-9.789598,-0.010265,-0.010571,0.011416,20.402,-0.200,-40.083
490.0,-0.020820,-0.070755,-9.839172,0.009130,0.008574,0.007390,19.450,0.452,-40.503
500.0,-0.064267,-0.014606,-9.842593,-0.001204,-0.006258,0.013813,21.405,0.248,-40.485
510.0,0.057006,-0.025242,-9.849279,0.001137,-0.012070,-0.008517,20.756,0.311,-39.591
520.0,0.023104,0.052896,-9.834623,0.007909,-0.004909,0.004690,18.871,-0.758,-40.312
530.0,-0.094851,0.046626,-9.872036,-0.010890,0.004408,-0.017452,20.052,-0.533,-39.488
540.0,0.072301,0.021588,-9.774465,0.003818,0.008349,0.020017,20.123,-0.398,-40.746
550.0,0.002708,-0.016085,-9.870502,-0.003385,-0.019815,0.003920,18.931,-0.495,-39.910
560.0,0.025391,-0.018985,-9.797366,0.008388,-0.000807,0.011562,19.656,-0.094,-39.081
570.0,0.041190,-0.047335,-9.846236,-0.002785,-0.001065,-0.005061,19.973,-0.823,-39.134
580.0,-0.034535,0.023659,-9.916738,-0.001339,-0.002481,0.004042,19.713,-0.540,-39.851
